#MJD	log(Lx_bol)	log(Lx/L_Edd)	log(L_opt)	log(Lopt/L_Edd)
				
52350.22855	36.01069546875216	-2.8605270880075464	35.15277069060024	-3.718451866159465
				
				
				
				
				
				
				
				
52359.494099999996	36.80233738081726	-2.0688851759424507	35.46077069060024	-3.410451866159465
				
				
				
				
53078.50533	38.06743473046825	-0.8037878262914572	35.78077069060024	-3.090451866159465
53079.212920000005	37.94538733514897	-0.9258352216107352	35.752770690600244	-3.1184518661594636
53080.045484999995	38.00424099873917	-0.8669815580205364	35.816770690600244	-3.0544518661594635
53081.43116	38.10240886824087	-0.7688136885188355	35.824770690600246	-3.046451866159461
53082.304525	38.0300749958919	-0.8411475608678058	35.812770690600246	-3.0584518661594613
53087.618425	38.06387324404117	-0.8073493127185384	35.788770690600245	-3.082451866159462
53088.245295	38.147917343219596	-0.7233052135401107	35.82077069060024	-3.0504518661594657
53089.508035	38.0740607751572	-0.7971617816025071	35.764770690600244	-3.106451866159463
53090.42993	38.09032000361215	-0.7809025531475581	35.80477069060024	-3.066451866159464
53091.535019999996	38.07392063729429	-0.7973019194654141	35.79677069060024	-3.0744518661594666
53092.4067	38.0811912791353	-0.7900312776244105	35.80477069060024	-3.066451866159464
53096.298635	38.10863292238381	-0.7625896343758951	35.800770690600245	-3.0704518661594618
53097.29395000001	38.14591551195192	-0.7253070448077876	35.824770690600246	-3.046451866159461
53098.380865	38.07319506355051	-0.7980274932091999	35.752770690600244	-3.1184518661594636
53099.25666	38.127727543481654	-0.7434950132780527	35.79677069060024	-3.0744518661594666
53099.93619	38.137564232693215	-0.733658324066492	35.76877069060024	-3.1024518661594653
53101.116705	38.067351323162185	-0.8038712335975217	35.78477069060024	-3.086451866159467
53102.25612	38.058428066778	-0.8127944899817078	35.712770690600244	-3.1584518661594627
				
53104.18097	38.130154608523675	-0.7410679482360321	35.72877069060024	-3.1424518661594645
				
				
53107.378785	38.0762872392386	-0.7949353175211041	35.752770690600244	-3.1184518661594636
53108.316795000006	38.08277584706994	-0.7884467096897678	35.78077069060024	-3.090451866159465
				
53110.234645	38.16364755473995	-0.7075750020197543	35.748770690600246	-3.1224518661594614
				
53112.435165	38.07298199843904	-0.7982405583206668	35.684770690600246	-3.1864518661594614
53113.52478	38.03819486631132	-0.833027690448385	35.69277069060024	-3.178451866159466
53114.393125	38.03171861753381	-0.8395039392258948	35.68077069060024	-3.1904518661594663
53115.408364999996	38.14787658161819	-0.7233459751415151	35.696770690600246	-3.174451866159461
				
53123.012749999994	37.87426852858931	-0.9969540281703954	35.660770690600245	-3.2104518661594623
53124.0455	37.88088437938503	-0.9903381773746771	35.64477069060025	-3.2264518661594606
53125.456865	37.8570551335326	-1.0141674232271096	35.56477069060024	-3.306451866159466
53126.42628	37.81392376962322	-1.0572987871364843	35.632770690600246	-3.238451866159461
53127.524945	37.847327329245395	-1.0238952275143118	35.596770690600245	-3.2744518661594624
53129.022339999996	37.842512249180544	-1.0287103075791633	35.648770690600244	-3.2224518661594628
53130.09708	37.82823200827634	-1.0429905484833693	35.620770690600246	-3.2504518661594615
53131.342535	37.841068819887234	-1.0301537368724736	35.660770690600245	-3.2104518661594623
				
53134.151405	37.82180234363373	-1.0494202131259796	35.636770690600244	-3.2344518661594632
				
				
				
53137.269425	37.89792844589507	-0.9732941108646384	35.62477069060024	-3.2464518661594637
				
53139.283245	37.87800281197427	-0.9932197447854375	35.54877069060024	-3.322451866159464
53140.152149999994	37.769416267245006	-1.101806289514701	35.62877069060024	-3.242451866159466
				
				
				
53144.99781	37.81531112478889	-1.0559114319708156	35.61677069060024	-3.2544518661594664
				
53148.841985	37.796892892852746	-1.074329663906961	35.636770690600244	-3.2344518661594632
				
				
				
53154.35018	37.77851843623659	-1.0927041205231187	35.620770690600246	-3.2504518661594615
53158.273445	37.72525923367606	-1.1459633230836443	35.62477069060024	-3.2464518661594637
				
53162.27971	37.77450191098151	-1.096720645778194	35.56077069060024	-3.3104518661594637
				
				
53168.40975	37.83144528238381	-1.0397772743758962	35.584770690600244	-3.286451866159463
				
53171.655490000005	37.824583063741024	-1.0466394930186835	35.556770690600246	-3.3144518661594615
				
53175.2352	37.83791789910201	-1.0333046576576974	35.556770690600246	-3.3144518661594615
53179.81585	37.8027436558931	-1.0684789008666042	35.61677069060024	-3.2544518661594664
				
				
