#MJD RXTE/ASMcpuntrate(1.5-12keV) +-
54141.586392 2.432000 0.476000 
54143.749118 1.779000 0.546000 
54145.452887 1.896000 0.403000 
54146.380950 1.416000 0.327000 
54147.566468 1.729000 0.353000 
54148.479098 1.509000 0.477000 
54150.588499 1.997000 0.418000 
54151.646121 1.651000 0.470000 
54153.650321 1.365000 0.452000 
54154.506959 1.980000 0.283000 
54155.366114 1.383000 0.362000 
54158.630504 1.865000 0.479000 
54159.486617 2.017000 0.414000 
54161.574929 1.438000 0.339000 
54162.376061 1.985000 0.277000 
54163.536502 1.564000 0.237000 
54164.528837 1.725000 0.258000 
54165.520306 2.040000 0.292000 
54166.637821 1.227000 0.387000 
54167.467911 1.602000 0.240000 
54168.689229 2.007000 0.365000 
54169.468034 1.670000 0.283000 
54170.526245 1.491000 0.231000 
54171.676652 1.943000 0.319000 
54172.438144 1.053000 0.206000 
54173.159184 1.271000 0.354000 
54174.740120 1.274000 0.267000 
54175.700347 1.273000 0.288000 
54176.396545 1.600000 0.262000 
54177.370559 1.310000 0.288000 
54178.360069 1.409000 0.219000 
54179.510874 1.306000 0.220000 
54180.348216 1.061000 0.256000 
54181.592819 1.474000 0.249000 
54182.568516 1.258000 0.211000 
54183.444117 0.856000 0.268000 
54185.672808 1.438000 0.328000 
54186.522767 1.358000 0.192000 
54187.698054 1.215000 0.291000 
54188.448066 1.188000 0.299000 
54189.607726 2.528000 0.455000 
54190.534139 1.304000 0.314000 
54191.713590 2.294000 0.623000 
54193.451436 1.394000 0.372000 
54195.767171 1.688000 0.519000 
54196.213837 2.329000 0.631000 
54197.353766 1.184000 0.276000 
54198.517098 3.014000 0.528000 
54199.471615 2.172000 0.345000 
54202.355735 1.894000 0.339000 
54203.493273 1.403000 0.264000 
54204.312699 1.602000 0.323000 
54205.426032 1.220000 0.334000 
54206.345422 1.721000 0.281000 
54207.446373 1.825000 0.286000 
54208.733770 1.175000 0.259000 
54209.548183 1.613000 0.217000 
54210.426801 1.248000 0.209000 
54212.661051 2.016000 0.288000 
54213.468952 2.153000 0.390000 
54214.468396 1.533000 0.226000 
54215.573454 1.959000 0.216000 
54216.558652 1.914000 0.319000 
54217.229628 2.054000 0.332000 
54218.396748 1.680000 0.286000 
54222.463488 1.555000 0.258000 
54223.403602 1.642000 0.374000 
54224.462341 2.035000 0.212000 
54225.625567 1.751000 0.255000 
54227.367373 1.758000 0.234000 
54228.611985 1.222000 0.346000 
54229.595437 1.983000 0.285000 
54230.348908 2.279000 0.544000 
54232.534427 2.314000 0.413000 
54233.602193 2.090000 0.424000 
54234.562950 2.135000 0.550000 
54236.832707 3.455000 0.741000 
54237.618949 1.860000 0.437000 
54244.559278 1.782000 0.338000 
54246.605048 1.665000 0.421000 
54247.276631 2.220000 0.471000 
