Source,d(kpc),d_err,Av,Av_err,M_BH,M_BH_err,Optical,Outburst,V_mag,Reddened flux (mJy),De-reddened flux (mJy),X-ray MJD,F_X_unabs,log(Lx_bol),log(Lx/L_Edd),log(L_opt),log(Lopt/L_Edd),optical lag,lag_err
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53922.12467,2006hard,19.49,0.05815993,1.160443164,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53931.19518,2006hard,19.81,0.043313559,0.864219128,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53932.10573,2006hard,19.72,0.047056961,0.938909805,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53934.08058,2006hard,20.8,0.01740299,0.347235304,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53935.09729,2006hard,19.87,0.0409849,0.817756255,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53936.02769,2006hard,19.84,0.042133145,0.840666758,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53937.11228,2006hard,19.98,0.037035983,0.738965009,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53941.13708,2006hard,19.5,0.057626716,1.149804157,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53945.08445,2006hard,19.73,0.04662554,0.930301829,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53946.17631,2006hard,19.64,0.050655181,1.010703744,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53968.09286,2006hard,20.13,0.032256993,0.643611617,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53969.16527,2006hard,19.4,0.063186438,1.260735188,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53980.05282,2006hard,19.16,0.078817721,1.57262029,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53981.00788,2006hard,19.34,0.066776534,1.332367021,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53982.05032,2006hard,19.29,0.069923615,1.395159545,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53986.01505,2006hard,19.8,0.043714335,0.872215649,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53987.00603,2006hard,19.62,0.051596931,1.02949413,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53988.00258,2006hard,19.45,0.06034258,1.203992758,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53990.99568,2006hard,19.63,0.051123888,1.020055671,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53993.08012,2006hard,19.99,0.036696435,0.732190137,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53994.05123,2006hard,19.29,0.069923615,1.395159545,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53995.04991,2006hard,19.77,0.044939049,0.896651903,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53996.07123,2006hard,19.27,0.071223592,1.421097497,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53998.03027,2006hard,19.61,0.052074352,1.039019922,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,53999.02419,2006hard,19.34,0.066776534,1.332367021,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54000.99565,2006hard,19.2,0.075966807,1.515737078,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54001.98055,2006hard,19.48,0.058698077,1.171180613,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54002.99682,2006hard,19.39,0.063771095,1.272400627,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54004.00762,2006hard,19.59,0.053042487,1.058336744,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54005.06195,2006hard,19.36,0.065557725,1.308048583,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54005.99823,2006hard,20.1,0.033160714,0.661643232,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54007.00055,2006hard,19.48,0.058698077,1.171180613,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54008.02532,2006hard,19.18,0.077379136,1.543916735,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54011.00145,2006hard,18.6,0.132015181,2.634049151,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54012.00984,2006hard,18.59,0.133236702,2.658421708,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54013.00552,2006hard,18.93,0.09741456,1.943676011,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54015.00263,2006hard,19.12,0.081775625,1.631638238,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54016.00117,2006hard,19.23,0.073896501,1.474429035,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54018.01289,2006hard,20.28,0.028094666,0.560562285,,,,,,,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,54019.01475,2006hard,19.67,0.049274687,0.983159261,,,,,,,10,5
