55731.707772 16.590933  0.026268 
55736.629898 16.615267  0.017578 
55739.689360 16.650600  0.028723 
55741.307442 16.635933  0.015588 
55743.563100 16.617267  0.017578 
55745.413717 16.603267  0.030232 
55749.299472 16.651933  0.021119 
55749.632513 16.616600  0.030232 
55752.347168 16.542267  0.018166 
55758.344945 16.630267  0.021703 
55761.337966 16.638600  0.017146 
55766.489710 16.597600  0.015588 
55773.639015 16.620267  0.019570 
55785.437179 16.614933  0.030397 
55791.441252 16.551600  0.020761 
55800.499509 16.609267  0.018628 
55803.353547 16.590600  0.016643 
55809.445579 16.603600  0.022738 
55810.293221 16.598267  0.020761 
55814.432959 16.574600  0.024799 
55825.343737 16.556267  0.027203 
55837.302485 16.627600  0.024290 
55842.424479 16.637600  0.027386 
55957.648505 16.528600  0.023685 
55959.646872 16.534600  0.050010 
55962.628235 16.539600  0.023238 
55968.611179 16.539933  0.033317 
55971.614946 16.519267  0.027203 
55976.743444 16.623267  0.049214 
56022.747121 16.728933  0.117987 
56025.703698 16.583267  0.055669 
56027.765265 16.591267  0.073007 
56033.752582 16.579600  0.020149 
56037.436201 16.640600  0.023685 
56040.420788 16.642600  0.025671 
56048.634113 16.511267  0.018682 
56052.533635 16.565600  0.117346 
56054.614387 16.541267  0.038445 
56058.675701 16.562267  0.020149 
56060.642252 16.634600  0.020616 
56063.650268 16.622933  0.017146 
56067.493567 16.692600  0.020616 
56067.512056 16.662933  0.019131 
56084.495799 16.617600  0.035903 
56085.608752 16.602933  0.028758 
56093.607694 16.644267  0.022136 
56097.582018 16.683600  0.022605 
56102.560561 16.603600  0.060092 
56106.483908 16.642267  0.023685 
56108.570864 16.716267  0.028320 
56112.570658 16.582933  0.062793 
56115.429421 16.618600  0.022605 
56121.385705 16.684933  0.022605 
56126.443546 16.678933  0.019131 
56127.334580 16.659933  0.021703 
56129.471166 16.583600  0.018628 
56133.544484 16.571600  0.017578 
56136.494574 16.551267  0.027203 
56144.422948 16.695933  0.016643 
